Country,Year,INV,INF,GCF,GDP,HDI,LAB,AID
Bangladesh,2006,0.005005382,6.765261171,26.14414575,71819083684,0.513,54083636,1027819946
Bangladesh,2007,0.168647558,9.106984969,26.17849707,79611888213,0.52,54954286,1308520020
Bangladesh,2008,0.208073847,8.901944895,26.2022714,91631278239,0.523,55799460,1765829956
Bangladesh,2009,0.176456993,5.423472362,26.20605702,1.02E+11,0.535,56639145,1082760010
Bangladesh,2010,0.057635858,8.126676392,26.24665618,1.15E+11,0.545,57493263,1327329956
Bangladesh,2011,0.231218249,11.39516516,27.42097337,1.29E+11,0.557,58436990,1437520020
Bangladesh,2012,0.216757756,6.217504221,28.26233501,1.33E+11,0.567,59377977,2154050049
Bangladesh,2013,0.364607746,7.530406409,28.38962075,1.50E+11,0.575,60318372,2633590088
Bangladesh,2014,0.024160461,6.991638892,28.57787571,1.73E+11,0.583,61262254,2422639893
Bangladesh,2015,0.030706597,6.19428023,28.88668925,1.95E+11,0.592,62203550,2592909912
Bangladesh,2016,0.018298863,5.513525727,29.65256533,2.21E+11,0.597,63131472,2532820068
Cambodia,2006,0.115220438,6.143255757,19.3459009,7274595707,0.502,6957261,476350006.1
Cambodia,2007,0.012675319,7.66839343,19.77119147,8639235842,0.513,7175247,636169982.9
Cambodia,2008,0.197923057,24.99717885,17.26702365,10351914093,0.521,7408126,612559997.6
Cambodia,2009,0.181441038,-0.661307602,20.12561078,10401851851,0.521,7639032,637929992.7
Cambodia,2010,0.183059704,3.99623008,16.19407014,11242275199,0.537,8087213,681039978
Cambodia,2011,0.227327091,5.478587304,15.97177312,12829541141,0.546,8334043,691950012.2
Cambodia,2012,0.257428697,2.932724618,17.36127117,14054443213,0.553,8280172,807690002.4
Cambodia,2013,0.408907549,2.94260016,18.94596076,15227991395,0.56,8183449,808210022
Cambodia,2014,0.491321091,3.855238553,21.03975951,16702610842,0.566,8362550,802679992.7
Cambodia,2015,0.486211968,1.221270061,21.4349625,18049954289,0.571,8450593,679039978
Cambodia,2016,0.39504159,3.04541464,21.68519553,20016747754,0.576,8841029,728450012.2
India,2006,1.492867398,5.796523376,33.58489158,9.40E+11,0.545,448878843,1383579956
India,2007,1.39932736,6.372881356,35.81287812,1.22E+12,0.556,451318662,1329209961
India,2008,1.606188857,8.349267049,34.71795935,1.20E+12,0.564,453478308,2011579956
India,2009,1.199474211,10.88235294,33.95162693,1.34E+12,0.57,455403683,2456610107
India,2010,0.952969273,11.98938992,33.23001466,1.68E+12,0.581,457144011,2831340088
India,2011,0.691587823,8.858360966,34.31340766,1.82E+12,0.591,457496428,3270219971
India,2012,0.467994118,9.312445605,33.43694306,1.83E+12,0.6,457753613,1681849976
India,2013,0.09505724,11.06367478,31.29580484,1.86E+12,0.607,461045398,2456340088
India,2014,0.573111845,6.649500151,30.08023135,2.04E+12,0.618,464104758,2991820068
India,2015,0.357212358,4.906973441,28.73314865,2.10E+12,0.627,466842711,3174350098
India,2016,0.219944965,4.948216341,28.18843752,2.29E+12,0.636,469541836,2679040039
Indonesia,2006,0.747661388,13.1,24.13099153,3.65E+11,0.641,103776784,103776784
Indonesia,2007,1.081667967,6.66,24.94694364,4.32E+11,0.642,108893086,108893086
Indonesia,2008,1.156291483,9.78,27.69859122,5.10E+11,0.646,110890081,110890081
Indonesia,2009,0.416828151,5.05,31.11476656,5.40E+11,0.656,112039660,112039660
Indonesia,2010,0.554325076,5.14,30.99940883,7.55E+11,0.661,114596174,114596174
Indonesia,2011,1.011965967,5.34,31.30745404,8.93E+11,0.669,117225410,117225410
Indonesia,2012,0.815426297,3.98,32.71962807,9.18E+11,0.675,120144188,120144188
Indonesia,2013,1.217686934,6.41,31.96577957,9.13E+11,0.681,120972115,120972115
